Epoch 70 : Train Loss 5.566122e-03 , Train acc 1.000000,  Valid acc 0.828000 
Epoch 71 : Train Loss 5.449401e-03 , Train acc 1.000000,  Valid acc 0.828000 
Epoch 72 : Train Loss 5.336494e-03 , Train acc 1.000000,  Valid acc 0.828000 
Epoch 73 : Train Loss 5.227248e-03 , Train acc 1.000000,  Valid acc 0.828000 
Epoch 74 : Train Loss 5.121513e-03 , Train acc 1.000000,  Valid acc 0.828000 
Epoch 75 : Train Loss 5.019147e-03 , Train acc 1.000000,  Valid acc 0.828000 
Epoch 76 : Train Loss 4.920015e-03 , Train acc 1.000000,  Valid acc 0.828000 
Epoch 77 : Train Loss 4.823985e-03 , Train acc 1.000000,  Valid acc 0.828000 
Epoch 78 : Train Loss 4.730934e-03 , Train acc 1.000000,  Valid acc 0.828000 
Epoch 79 : Train Loss 4.640742e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 80 : Train Loss 4.553297e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 81 : Train Loss 4.468488e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 82 : Train Loss 4.386214e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 83 : Train Loss 4.306376e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 84 : Train Loss 4.228878e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 85 : Train Loss 4.153633e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 86 : Train Loss 4.080553e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 87 : Train Loss 4.009557e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 88 : Train Loss 3.940567e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 89 : Train Loss 3.873508e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 90 : Train Loss 3.808309e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 91 : Train Loss 3.744902e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 92 : Train Loss 3.683221e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 93 : Train Loss 3.623205e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 94 : Train Loss 3.564793e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 95 : Train Loss 3.507929e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 96 : Train Loss 3.452558e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 97 : Train Loss 3.398628e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 98 : Train Loss 3.346089e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 99 : Train Loss 3.294892e-03 , Train acc 1.000000,  Valid acc 0.830000 
Epoch 100 : Train Loss 3.244992e-03 , Train acc 1.000000,  Valid acc 0.830000 
